200
6 10
2 3 235
5 1 -151
0 4 845
2 1 -20
4 0 554
2 0 -161
1 4 1039
1 3 85
2 4 -262
0 3 -442
6 10
2 0 1184
1 0 358
2 5 130
0 3 746
3 1 667
4 4 793
5 2 386
3 2 1144
4 2 1338
4 1 641
6 10
5 1 1094
3 4 928
3 0 1352
5 4 452
4 4 29
2 0 -120
5 3 583
1 2 -90
1 4 197
2 4 890
6 10
5 0 -151
3 2 397
4 2 108
0 5 619
1 4 761
0 1 1429
1 5 661
3 4 675
0 0 -446
2 5 1114
6 10
4 3 1120
1 1 -427
0 0 720
5 2 1190
4 5 411
5 1 1380
0 4 697
3 5 668
3 3 106
2 2 1106
6 10
5 2 1357
1 3 1256
3 4 262
5 0 1271
2 0 189
1 2 -189
1 4 530
1 0 -470
0 1 -447
4 5 1168
6 10
4 0 -384
5 1 -298
0 2 1040
1 5 1174
1 4 721
4 3 798
5 0 -117
1 1 859
5 4 -292
4 1 -169
6 10
2 0 -465
3 5 -461
1 3 1144
0 3 -272
5 0 1103
2 3 748
2 5 1368
0 2 1093
2 1 1234
4 5 10
6 10
4 0 754
1 3 1364
5 1 -23
3 3 667
0 2 156
2 2 -332
1 0 1144
3 2 -378
4 5 -313
2 3 1417
6 10
5 4 660
0 3 -111
0 5 416
4 3 148
2 4 251
4 0 1462
1 3 380
0 2 503
2 2 243
5 5 -460
6 10
0 0 9
0 3 -130
5 5 117
3 4 370
3 3 699
3 2 1022
2 3 404
0 4 1296
5 4 854
4 1 -416
6 10
0 3 -367
4 1 -241
1 4 698
3 1 967
5 4 -284
0 4 1328
1 3 1005
1 2 -490
4 5 -345
5 5 735
6 10
3 5 1062
5 2 -355
5 0 408
2 0 710
3 0 -120
2 3 839
0 4 41
2 1 579
1 0 -169
3 3 913
6 10
2 0 877
4 5 515
4 4 1150
1 4 1102
3 1 529
0 3 1280
1 0 923
0 2 -411
2 5 529
5 1 861
6 10
3 1 -387
4 1 638
0 3 323
4 4 1230
3 5 -244
5 4 938
3 2 -165
1 3 1398
0 1 291
0 0 361
6 10
4 2 -354
4 1 -187
5 2 528
1 3 179
3 1 927
0 5 1191
0 1 115
1 2 -187
0 2 419
2 0 775
6 10
3 5 -279
4 3 299
3 4 1189
2 5 998
2 2 692
0 5 -224
1 1 978
1 0 1299
1 3 1080
4 4 649
6 10
4 2 177
4 5 248
0 5 -217
3 2 1182
0 3 -204
3 5 -205
1 1 1091
2 4 39
1 5 19
5 2 1340
6 10
2 0 1418
4 1 798
3 4 910
2 1 622
1 5 1151
5 4 491
4 0 1263
1 3 1187
5 0 -365
2 5 416
6 10
3 3 -310
2 3 115
1 3 -241
1 4 583
1 2 603
5 3 -346
5 2 1002
1 5 -448
1 1 -236
3 1 1151
6 10
1 1 -157
4 4 -97
1 2 1241
3 4 1081
0 1 374
5 1 299
1 5 429
1 3 574
4 0 -259
2 3 1243
6 10
0 0 1105
4 0 -92
1 3 816
3 2 -458
3 4 -199
3 3 909
4 3 -124
4 4 1051
3 5 373
2 2 191
6 10
2 4 433
2 3 -438
4 2 1022
4 0 803
1 1 -248
3 2 -131
1 4 1207
3 1 1025
4 1 -378
0 3 389
6 10
4 2 1210
5 2 1246
1 0 -352
1 3 133
3 0 160
4 3 574
5 3 -283
0 5 -122
3 2 907
1 1 1371
6 10
4 2 749
3 4 567
2 4 1111
0 1 90
5 4 145
4 3 8
5 2 188
0 5 763
2 3 1146
3 5 -180
6 10
1 0 967
4 0 -476
0 3 1470
3 1 1486
4 4 792
0 5 192
1 2 287
2 5 159
4 1 1206
3 4 813
6 10
1 4 -337
0 5 1044
0 2 709
2 3 2
0 1 153
4 4 1213
1 5 299
5 0 -165
4 3 731
0 4 1061
6 10
5 0 1192
3 5 -327
5 1 -65
0 0 -436
2 0 -193
5 5 -42
1 2 1241
1 1 1017
2 3 1280
2 5 -422
6 10
3 0 119
1 4 -267
3 1 232
5 0 -87
3 2 466
0 2 -172
0 4 18
1 5 537
3 5 -307
0 3 844
6 10
0 0 430
3 0 598
5 0 767
2 2 301
3 2 41
5 1 411
5 2 1057
1 2 776
1 4 -415
4 1 -42
6 10
2 0 -413
2 5 1023
5 4 763
3 3 1079
1 3 845
0 3 281
3 4 149
0 5 363
0 4 1216
4 3 1397
6 10
5 2 1493
4 3 535
2 0 348
0 1 695
1 0 1368
1 3 950
2 4 1232
5 0 942
5 3 57
5 4 -86
6 10
0 4 1455
3 0 323
0 0 1491
1 2 1179
1 5 1082
4 3 491
4 5 217
4 2 -358
3 1 -239
4 0 949
6 10
1 5 969
3 2 926
0 1 367
4 5 -213
2 4 1101
0 5 -479
0 3 1193
4 4 332
2 5 -140
1 2 282
6 10
1 0 1059
2 2 986
2 4 852
5 4 1368
2 1 462
5 5 977
4 1 1488
4 5 794
5 2 -488
3 2 -100
6 10
2 5 1115
4 1 -258
3 5 1102
3 1 -287
0 2 148
2 2 391
3 2 -266
4 0 703
1 1 -355
1 0 1343
6 10
5 3 -381
2 3 1156
0 1 599
0 5 1462
3 5 440
3 4 1333
1 2 382
1 4 1122
3 3 1111
5 2 -419
6 10
1 3 865
0 4 -303
1 0 -269
2 5 -24
4 4 719
5 3 -36
4 3 -61
5 0 535
2 3 447
3 4 65
6 10
0 2 -243
3 0 359
1 0 -395
0 1 1412
3 4 1337
1 5 1002
4 0 776
2 4 405
2 3 -433
0 5 1132
6 10
0 3 1237
2 1 -45
5 4 -161
5 3 491
0 4 1387
0 5 1342
1 2 1249
2 2 141
2 5 368
5 0 -229
6 10
5 4 131
0 5 -118
5 5 470
0 1 -497
0 3 500
1 1 249
5 0 -60
3 0 216
0 0 695
1 2 -199
6 10
4 1 1458
2 4 290
5 1 1297
4 3 1070
1 2 592
4 0 312
2 3 606
3 2 -393
1 3 -308
0 5 77
6 10
5 0 672
0 3 -142
2 2 1288
1 4 1310
1 2 -43
5 2 621
5 4 1078
5 3 914
5 1 -403
1 0 953
6 10
5 3 1311
2 4 899
5 5 1459
3 3 0
5 2 0
4 5 641
2 1 332
3 0 173
3 5 63
4 0 -351
6 10
5 5 1450
1 3 455
0 1 294
1 2 665
3 4 704
2 1 1393
4 1 1166
5 1 1458
2 0 -88
2 5 528
6 10
2 0 1035
4 4 368
1 3 -413
1 5 273
2 1 1309
1 1 -274
0 3 117
1 2 563
1 4 794
4 0 -144
6 10
3 1 733
2 5 287
3 4 1477
0 2 -151
2 0 1274
0 4 1130
2 4 811
5 3 -465
3 0 534
4 2 -299
6 10
2 2 747
1 0 -320
5 0 -158
3 5 548
0 2 488
4 4 135
1 5 70
5 5 1038
1 2 -42
2 5 31
6 10
